STT,Loại câu hỏi,Câu hỏi,Câu trả lời,Căn cứ
88,Phương thức giảng dạy môn học,Có các phương thức dạy học nào ở hệ đào tạo từ xa?,"Môn học trong chương trình đào tạo được tổ chức giảng dạy theo một hoặc kết hợp nhiều phương thức: 
 + Học tập trung: Mỗi môn học có thể được tổ chức giảng dạy tập trung tại Trường Đại học Công nghệ Thông tin, Trạm ĐTTX để hướng dẫn sinh viên học tập, thực hành những phần khó, giải đáp thắc mắc.
 + Học trực tuyến: Giảng viên giảng dạy, hướng dẫn sinh viên học tập trao đổi, thảo luận thông qua các hệ thống phần mềm giảng dạy trực tuyến.","Điều 12, QUY CHẾ ĐÀO TẠO TỪ XA TRÌNH ĐỘ ĐẠI HỌC CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
89,Công nhận kết quả học tập,Cách nào để công nhận kết quả học tập ở hệ đào tạo từ xa?,"Khi có nhu cầu công nhận kết quả học tập từ các các cơ sở đào tạo khác, sinh viên nộp đơn xin công nhận kết quả học tập kèm các hồ sơ liên quan cho P.ĐTĐH thông qua Trạm ĐTTX chính. Đơn vị chuyên môn có trách nhiệm xem xét, quyết định công nhận kết quả học tập để chuyển đổi, miễn trừ những môn học mà sinh viên đã tích lũy ở các chương trình đào tạo cấp văn bằng khác. Số tín chỉ được công nhận kết quả học tập để chuyển đổi, miễn trừ tích lũy từ các cơ sở đào tạo khác ngoài Trường ĐHCNTT không được vượt quá 50% tổng số tín chỉ của chương trình ĐTTX.","Điều 16, QUY CHẾ ĐÀO TẠO TỪ XA TRÌNH ĐỘ ĐẠI HỌC CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
90,Xử lý học vụ,Sinh viên không tham gia kiểm tra kết thúc môn có bị ảnh hưởng gì không?,"Cảnh báo học vụ: Sinh viên bị cảnh báo học tập nếu thuộc một trong những trường hợp sau: 
 - Không đóng học phí theo quy định;
 - Không dự kiểm tra/thi kết thúc môn học quá 30% số môn học đăng ký trong năm học;","Khoản 1, Điều 18, QUY CHẾ ĐÀO TẠO TỪ XA TRÌNH ĐỘ ĐẠI HỌC CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
91,Xử lý học vụ,Sinh viên nhờ người khác đi thi hộ có bị phạt không?,"Đình chỉ học tập: 
 - Sinh viên bị đình chỉ học tập 1 năm học nếu vi phạm lần đầu trong việc đi thi hộ hoặc nhờ người thi hộ.
 - Đình chỉ học tập có thời hạn: áp dụng đối với những sinh viên đang trong thời gian bị cảnh báo mà vẫn vi phạm kỷ luật hoặc vi phạm nghiêm trọng các hành vi sinh viên không được làm; sinh viên vi phạm pháp luật bị xử phạt tù nhưng cho hưởng án treo.","Khoản 2, Điều 18, QUY CHẾ ĐÀO TẠO TỪ XA TRÌNH ĐỘ ĐẠI HỌC CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
92,Tổ chức lớp,Số sinh viên tối đa và tối thiểu của một lớp CLC là bao nhiêu?,"Lớp học phần: 
 Quy mô lớp học không quá 50 SV/lớp đối với môn học lý thuyết. 
 Lớp học phần sẽ được mở nếu số lượng SV đăng ký tối thiểu 30 SV/lớp đối với các môn học thuộc kiến thức đại cương và cơ sở nhóm ngành, tối thiểu 15 SV/lớp đối với các môn học thuộc kiến thức cơ sở ngành và chuyên ngành, tối thiểu 10 SV/lớp đối với các môn ngoại ngữ. Các trường hợp khác do Hiệu trưởng quyết định dựa trên tình hình thực tế triển khai. 
 Lớp sinh hoạt: 
 Sinh viên một khóa tuyển được bố trí vào 01 lớp sinh hoạt do 01 cố vấn học tập quản lý. Quy mô mỗi lớp sinh hoạt không quá 100 SV/lớp.","Điều 7, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH CHẤT LƯỢNG CAO"
93,Phương thức xét tuyển,Có các phương thức dạy học nào ở chương trình chất lượng cao?,"Việc xét tuyển vào CT CLC thực hiện theo một trong hai phương thúc sau đây:
 9.1 Tuyể sinh viên năm nhất
 Thực hiện theo đề án tuyển sinh hàng năm của hệ đại học chính quy. Chỉ tiêu tuyển vào CT CLC nằm trong tổng chỉ tiêu tuyển sinh hằng năm của trường.
 9.2 Tuyển sinh niên năm trên
 Tuyển bổ sung vào CT CLC vào mỗi đầu học kỳ nhưng không muộn hơn cuối kỳ thứ hai. Nếu ngành đago tạo CT CLC có tiến hành phân ngành/chuyên ngành vào giữa khóa học thì bắt buộc phải tổ chức tuyển bổ sung vào CT CLC không muộn hơn thời điểm phân ngành/chuyên ngành này.","Điều 9, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH CHẤT LƯỢNG CAO"
94,Phương thức xét tuyển,Các tiêu chí nào để sinh viên năm trên có thể tham gia CT CLC?,"Sinh viên tự nguyện tham gia vào CT CLC
 Sinh viên đang theo học cùng khóa, cùng ngành với lớp CT CLC tương ứng. Trường hợp cần thiết Khoa có thể thông báo tuyển từ sinh viên một số ngành/chuyên ngành khác cũng khóa nếu ngành đó chưa có sự khác biệt đáng kể về chương trình đào tạo so với ngành đang đào tạo CT CLC (số tín chỉ khác biệt 10%), đồng thời sinh viên có điểm xét tuyển bằng hoặc cao hơn điểm trúng tuyển của chương trình tương ứng hoặc là sinh viên trúng tuyển theo diện tuyển thẳng, ưu tiên xét tuyển học sinh giỏi.
 Có điểm rèn luyện đạt từ loại Khá trở lên.
 Sinh viên không thuộc diện chậm tiến độ theo kế hoạch đào tạo.
 Điểm trung bình chung tích lũy (EIBTL) tính tới thời điểm xét, điểm trung bình học kỳ gần nhất và điểm trung bình các môn ngoại ngữ trong CTĐT không dưới 6.5.","Khoản 2, Điều 9, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH CHẤT LƯỢNG CAO"
95,Từ ngữ sử dụng và chữ viết tắt,Đơn vị quản lý môn học là gì?,"Điều 2. Từ ngữ sử dụng và chữ viết tắt
1. Đơn vị quản lý môn học (ĐVQLMH): Khoa, bộ môn, tổ môn học hoặc một đơn vị khác của Trường được giao nhiệm vụ quản lý về mặt chuyên môn đối với một môn học theo Danh mục các môn học đại học của Trường.","Khoản 1, Điều 2, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
96,Từ ngữ sử dụng và chữ viết tắt,Giảng viên thỉnh giảng là gì?,"Điều 2. Từ ngữ sử dụng và chữ viết tắt
2. Giảng viên thỉnh giảng: Giảng viên hoặc trợ giảng không phải là cán bộ cơ hữu của Trường ĐHCNTT.","Khoản 2, Điều 2, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
97,Từ ngữ sử dụng và chữ viết tắt,Hệ thống moodle là gì?,"Điều 2. Từ ngữ sử dụng và chữ viết tắt
4. Hệ thống Moodle: Hệ thống hỗ trợ học tập online của Trường tại địa chỉ courses.uit.edu.vn.","Khoản 4, Điều 2, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
98,Tiêu chuẩn và trách nhiệm của giảng viên giảng dạy môn học (GVMH),Điều kiện/Tiêu chuẩn để trở thành một giảng viên môn học ở trưởng?,"Điều 3. Tiêu chuẩn và trách nhiệm của giảng viên giảng dạy môn học (GVMH)
1. GVMH phải đáp ứng tất cả những điều kiện sau:
a. Có trình độ thạc sĩ trở lên với chuyên ngành phù hợp môn học, trừ giảng viên giảng dạy ngoại ngữ có trình độ đại học trở lên với chuyên ngành phù hợp.
b. Có chứng chỉ nghiệp vụ sư phạm.
c. Đáp ứng một trong các điều kiện sau:
        i. Có kết quả nghiên cứu liên quan đến môn học phụ trách được thể hiện qua: luận văn tốt nghiệp trình độ đại học/thạc sĩ/tiến sĩ; bài báo khoa học đăng trên các kỷ yếu hội nghị chuyên ngành hoặc tạp chí có uy tín; sách đã xuất bản; hoặc đề tài nghiên cứu khoa học đã được nghiệm thu;
        ii. Có kinh nghiệm làm việc từ 03 năm trở lên liên quan đến môn học.
d. Đáp ứng một trong các điều kiện sau:
        i. Hoàn thành kiến tập giảng dạy được quy định tại Điều 6 của quy định này và được giảng viên hướng dẫn kiến tập nhận xét là đạt yêu cầu;
        ii. Đã học và thi đạt môn học tương đương trong quá trình học tập hoặc từ một khóa học có uy tín được Trường công nhận.
GVMH có trình độ tiến sĩ hoặc môn học được mở lần đầu tiên tại trường thì không cần đáp ứng điều kiện tại Điểm d Khoản 1 Điều 3.2/6
","Khoản 1, Điều 3, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
99,Tiêu chuẩn và trách nhiệm của giảng viên giảng dạy môn học (GVMH),Trách nhiệm của giảng viên môn học đối với sinh viên?,"Điều 3. Tiêu chuẩn và trách nhiệm của giảng viên giảng dạy môn học (GVMH)
2. GVMH có trách nhiệm:
a. Giảng dạy chính và phối hợp chặt chẽ với TGMH (nếu có) để đạt chất lượng giảng dạy tốt nhất.
b. Nắm vững đề cương môn học và giảng dạy theo đề cương môn học. Nếu có thay đổi so với đề cương môn học thì GVMH có trách nhiệm làm việc với ĐVQLMH để cập nhật đề cương môn học trước khi giảng dạy.
c. Giảng dạy đủ số tiết học theo thời khóa biểu, thực hiện báo nghỉ và dạy bù đúng theo quy định của Trường.
d. Cung cấp đề cương môn học, tài liệu giảng dạy và tập tin trình chiếu bài giảng - slides (nếu có sử dụng) và hỗ trợ sinh viên học tập thông qua hệ thống Moodle.
e. Ra đề thi, tham gia coi thi, chấm thi và nộp điểm theo quy định của Trường.","Khoản 2, Điều 3, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
100,Tiêu chuẩn và trách nhiệm của giảng viên giảng dạy môn học (GVMH),Điều kiện/Tiêu chuẩn để trở thành một trợ giảng môn học ở trưởng?,"Điều 4. Tiêu chuẩn và trách nhiệm của trợ giảng môn học (TGMH)
1. TGMH phải đáp ứng tất cả những điều kiện sau:
a. Có trình độ đại học trở lên hoặc là sinh viên năm cuối khóa của Trường.
b. Đáp ứng một trong các các điều kiện sau:
	i. Có kết quả nghiên cứu liên quan đến môn học phụ trách được thể hiện qua: luận văn tốt nghiệp trình độ đại học/thạc sĩ/tiến sĩ; bài báo khoa học đăng trên các kỷ yếu hội nghị chuyên ngành hoặc tạp chí có uy tín; sách đã xuất bản; hoặc đề tài nghiên cứu khoa học đã được nghiệm thu;
	ii. Đã học và thi đạt môn học tương đương trong quá trình học tập hoặc từ một khóa học có uy tín được Trường công nhận. Trường hợp TGMH chưa có trình độ đại học thì phải có kết quả học môn học đó đạt từ loại Giỏi trở lên.
c. Đáp ứng một trong các điều kiện sau:	
	i. Hoàn thành kiến tập giảng dạy được quy định tại Điều 6 của quy định này và được giảng viên hướng dẫn kiến tập nhận xét là đạt yêu cầu;
	ii. Đã học và thi đạt môn học tương đương trong quá trình học tập hoặc từ một khóa học có uy tín được Trường công nhận.
TGMH có trình độ tiến sĩ hoặc môn học được mở lần đầu tiên tại trường thì không cần đáp ứng điều kiện tại Điểm c Khoản 1 Điều 4 này.","Khoản 1, Điều 4, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
101,Tiêu chuẩn và trách nhiệm của giảng viên giảng dạy môn học (GVMH),Trách nhiệm của trợ giảng môn học đối với sinh viên?,"Điều 4. Tiêu chuẩn và trách nhiệm của trợ giảng môn học (TGMH)
2. TGMH bao gồm: trợ giảng lý thuyết (TGLT) và trợ giảng thực hành (TGTH)
a. Trách nhiệm chung của TGMH:
- Nắm vững đề cương môn học, phối hợp chặt chẽ với GVMH để đạt chất lượng giảng dạy tốt nhất.
- Hỗ trợ sinh viên học tập thông qua hệ thống Moodle.
Ngoài ra,
b. TGTH có trách nhiệm:
- Giảng dạy thực hành theo đề cương môn học.
- Giảng dạy đủ số tiết học theo thời khóa biểu, thực hiện báo nghỉ và dạy bù đúng theo quy định của Trường.
- Ra đề thi và chấm thi thực hành, tham gia coi thi và nộp điểm theo quy định của Trường.
c. TGLT có trách nhiệm:
- Hỗ trợ GVMH trong các hoạt động giảng dạy, bao gồm: chuẩn bị bài giảng, phụ đạo, hướng dẫn bài tập, thảo luận và chấm bài.
- Tham gia giờ học lý thuyết hoặc trực tại phòng làm việc để hỗ trợ sinh viên với thời lượng bằng hai phần ba số tiết lý thuyết của môn học (chưa quy đổi). Lịch dạy hoặc lịch trực được thông báo công khai cho sinh viên biết trên trang thông tin điện tử của Trường","Khoản 2, Điều 4, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
102,Kiến tập giảng dạy,Kiến tập giảng dạy là gì?,"Điều 6. Kiến tập giảng dạy
1. Kiến tập giảng dạy là chế độ tập huấn giảng viên của Trường nhằm tạo điều kiện cho giảng viên cơ hữu của Trường học hỏi kinh nghiệm và phương pháp giảng dạy một môn học cụ thể từ giảng viên khác (gọi là giảng viên hướng dẫn kiến tập) để có thể đủ điều kiện giảng dạy môn học đó. Giảng viên hướng dẫn kiến tập phải là giảng viên đủ tiêu chuẩn giảng dạy môn học theo quy định tại Điều 3 của quy định này.","Khoản 1, Điều 6, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
103,Kiến tập giảng dạy,Giảng viên kiến tập là gì?,"Điều 6. Kiến tập giảng dạy
Là giảng viên tham gia chế độ kiến tập giảng dạy
1. Kiến tập giảng dạy là chế độ tập huấn giảng viên của Trường nhằm tạo điều kiện cho giảng viên cơ hữu của Trường học hỏi kinh nghiệm và phương pháp giảng dạy một môn học cụ thể từ giảng viên khác (gọi là giảng viên hướng dẫn kiến tập) để có thể đủ điều kiện giảng dạy môn học đó. Giảng viên hướng dẫn kiến tập phải là giảng viên đủ tiêu chuẩn giảng dạy môn học theo quy định tại Điều 3 của quy định này.","Khoản 1, Điều 6, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
104,Kiến tập giảng dạy,Giảng viên kiến tập có lương không?,"Điều 6. Kiến tập giảng dạy
4. Giảng viên kiến tập không có thù lao giảng dạy như GVMH và TGMH.","Khoản 4, Điều 6, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
105,Kiến tập giảng dạy,Những ai có thể đăng kí tham gia kiến tập giảng dạy?,"Điều 6. Kiến tập giảng dạy
2. Mọi giảng viên cơ hữu của trường đều có quyền đăng ký tham gia kiến tập giảng dạy đối với môn học phụ trách bởi khoa/bộ môn quản lý giảng viên hoặc khoa/bộ môn mà giảng viên đăng ký sinh hoạt chuyên môn (đối với giảng viên làm công tác kiêm nhiệm).","Khoản 2, Điều 6, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
106,Quy hoạch giảng dạy,Quy hoạch giảng dạy là gì?,"Điều 7. Quy hoạch giảng dạy
1. Mỗi môn học có danh sách tất cả những người có thể tham gia giảng dạy (giảng viên môn học hoặc trợ giảng môn học). Tập hợp các danh sách này được gọi chung là quy hoạch giảng dạy.","Khoản 1, Điều 7, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
107,Nguyên tắc phân công giảng dạy và mời giảng viên thỉnh giảng,Nếu giảng viên của trường không đáp ứng yêu cầu giảng dạy đối với môn học thì như thế nào?,"Điều 9. Nguyên tắc phân công giảng dạy và mời giảng viên thỉnh giảng
2. Trường hợp giảng viên cơ hữu của Trường không đáp ứng yêu cầu giảng dạy đối với một môn học (về số lượng hoặc chất lượng) thì ĐVQLMH có trách nhiệm mời giảng viên thỉnh giảng để giảng dạy cho môn học đó. Ngoài ra, Trường khuyến khích việc mời các nhà giáo, nhà khoa học có uy tín trong nước, nhà khoa học là người Việt Nam định cư ở nước ngoài và nhà khoa học người nước ngoài đến giảng dạy.","Khoản 2, Điều 9, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
108,Các hành vi giảng viên giảng dạy môn học và trợ giảng môn học không được làm,Giảng viên môn học và trợ giảng môn học không được vi phạm việc gì?,"Điều 11. Các hành vi giảng viên giảng dạy môn học và trợ giảng môn học không được làm
1. Xúc phạm danh dự, nhân phẩm, xâm phạm thân thể của người học;
2. Gian lận trong hoạt động đào tạo, nghiên cứu khoa học; Cố ý đánh giá sai kết quả học tập, rèn luyện của người học;
3. Ép buộc người học học thêm.6/6
4. Các hành vi vi phạm pháp luật khác.","Khoản 1, 2, 3, 4, Điều 11, QUY ĐỊNH VỀ TIÊU CHUẨN GIẢNG VIÊN GIẢNG DẠY MÔN HỌC VÀ TRỢ GIẢNG MÔN HỌC"
109,"Điều kiện nhận hỗ trợ công bố khoa học, tuyên dương",Điều kiện để được nhận hỗ trợ công bố khoa học?,"Điều 3. Điều kiện nhận hỗ trợ công bố khoa học, tuyên dương
- Là sinh viên, học viên cao học, nghiên cứu sinh đang trong thời gian đào tạo chính thức tại Trưởng tại thời điểm công bố bài báo khoa học, đối với bài báo hội nghị là thời điểm tổ chức hội nghị, đối với tạp chí là thời điểm công bố trang trên điện tử.
- Bài báo khoa học cần ghi rõ tên Trường ĐHCNTT, ĐHQG-HCM theo quy định tại công văn số 2287/ĐHQG-KHCN, ngày 19/12/2019. (Nếu muốn ghi thêm phòng thí nghiệm thì ghi đầu tiên, rồi đến tên Trường, Tên cơ quan khác của tác giả ghi sau cùng)
1. Đối với SV
Bài báo khoa học đã được nhận tài trợ của hội nghị hoặc nhận kinh phí từ đề tài khoa học công nghệ vẫn được xem là thỏa điều kiện nhận hỗ trợ.
2. Đối với HVCH, NCS
- HVCH, NCS là tác giả chính;
- Bài báo khoa học chưa nhận bất kỳ tài trợ nào (như kinh phi từ đề tài khoa học công nghệ các cấp, từ tài trợ của ban tổ chức hội nghị khoa học) và các khen thưởng khác của Trường.
","Điều 3, QUY ĐỊNH VỀ CHÍNH SÁCH HỖ TRỢ CÔNG BỐ KHOA HỌC DÀNH CHO SINH VIÊN, HỌC VIÊN CAO HỌC VÀ NGHIÊN CỨU SINH
"
110,Mức chi hỗ trợ công bố khoa học,Sinh viên được hỗ trợ công bố khoa học bao nhiêu?,"Điều 4. Mức chi hỗ trợ công bố khoa học
Định mức hỗ trợ cho các bài báo khoa học theo nơi công bố bài báo khoa học.
1. Bài báo tạp chí thỏa đồng thời các điều kiện sau nhận định mức hỗ trợ 25 triệu đồng / 1 bài:
- Thuộc danh mục SC/SCIE
- Thuộc danh mục ISI uy tín của NAFOSTED
- Xếp hạng Scopus-Q1 theo trang SCIMAGOR
- Được chấm điểm tối đa theo xếp hạng của HĐGSNN của ngành tương ứng
- Bài báo hội nghị xếp hạng A* theo bảng xếp hạng CORE
2. Bài báo tạp chí thỏa đồng thời các điều kiện sau nhận định mức hỗ trợ 20 triệu đồng / 1 bài:
- Thuộc danh mục SCI/SCIE
- Thuộc danh mục ISI uy tín của NAFOSTED
- Xếp hạng Scopus-Q1 theo trang SCIMAGOR, được chẩm 2.0 điểm theo xếp hạng của HĐGSNN của ngành tương ứng
- Bài báo hội nghị xếp hạng A theo bảng xếp hạng CORE.
3. Bài báo tạp chí thỏa đồng thời các điều kiện sau nhận định mức hỗ trợ 16 triệu đồng / 1 bài:
- Thuộc danh mục SC/SCIE
- Xếp hạng Scopus-Q2 theo trang SCIMAGOR
4. Bài báo tạp chí thỏa đồng thời các điều kiện sau nhận định mức hỗ trợ 12 triệu đồng / 1 bài:
- Thuộc danh mục SC/SCIE
- Xếp hạng Scopus-Q3 theo trang SCIMAGOR
5. Bài báo tạp chí xếp hạng Scopus-Q4 theo trang SCIMAGOR nhận định mức hỗ trợ 10 triệu đồng / 1 bài.
6. Bài báo tạp chí thuộc danh mục ESCI nhận định mức hỗ trợ 8 triệu đồng / 1 bài.
7. Bài báo hội nghị xếp hạng B theo bảng xếp hạng CORE nhận định mức hỗ trợ 6 triệu đồng / 1 bài.
8. Bài báo hội nghị xếp hạng C theo bảng xếp hạng CORE nhận định mức hỗ trợ 4 triệu đồng / 1 bài.
9. Bài báo hội nghị thuộc danh mục Scopus nhận định mức hỗ trợ 2 triệu đồng / 1 bài.","Bảng 1, Điều 4, QUY ĐỊNH VỀ CHÍNH SÁCH HỖ TRỢ CÔNG BỐ KHOA HỌC DÀNH CHO SINH VIÊN, HỌC VIÊN CAO HỌC VÀ NGHIÊN CỨU SINH
"
111,Mức chi hỗ trợ công bố khoa học,Tiền hỗ trợ công bố khoa học được chia thế nào đối với bài báo có nhiều người tham gia?,"Điều 4. Mức chi hỗ trợ công bố khoa học
1. Mức chi hỗ trợ cho bài báo khoa học có tác giả là sinh viên. 
Tiền hỗ trợ bài báo khoa học được chi trực tiếp cho tác giả là SV của Trường ĐHCNTT. Mức chỉ hỗ trợ được xác định như sau:
a. Đối với bài báo khoa học mà SV là tác giả chính (Tác giả chính phải được mô tả rõ trong bài báo khoa học. Nếu không có mô tả thì tác giả chính được hiểu là tác giả có tên đứng thứ tự đầu tiên trong tập thể tác giả của bài báo khoa học): Chi 100% mức hỗ trợ.
- Nếu chỉ có 01 SV (là tác giả chính) thì tác giả chính hưởng 100%;
- Nếu bài báo khoa học có thêm 01 đồng tác giả là SV thì tác giả chính hưởng là 65%, đồng tác giả SV hưởng 35%;
- Nếu bài báo khoa học có nhiều hơn 01 đồng tác giả là SV thì tác giả chính hưởng 50%, các đồng tác giả SV hưởng như nhau với 50% còn lại.
b. Đối với bài báo khoa học mà SV không là tác giả chính: Chi 50% mức hỗ trợ. Mức hỗ trợ này chia đều có các đồng tác giả là SV.
2. Mức chi hỗ trợ cho bài báo khoa học có tác giả là học viên cao học, nghiên cứu sinh: Chi 100% cho tác giả chính (không chỉ cho các đồng tác giả).","Khoảng 1, 2, Điều 4, QUY ĐỊNH VỀ CHÍNH SÁCH HỖ TRỢ CÔNG BỐ KHOA HỌC DÀNH CHO SINH VIÊN, HỌC VIÊN CAO HỌC VÀ NGHIÊN CỨU SINH
"
112,Đợt xét hỗ trợ công bố khoa học,Khi nào thì sinh viên được xét hỗ trợ công bố khoa học?,"Điều 6. Đợt xét hỗ trợ công bố khoa học
Trường tổ chức 2 đợt xét mỗi năm vào tháng 6 và tháng 11, Phòng Đào tạo Sau đại học và Khoa học Công nghệ sẽ thông báo cụ thể trên website Trường.","Điều 6, QUY ĐỊNH VỀ CHÍNH SÁCH HỖ TRỢ CÔNG BỐ KHOA HỌC DÀNH CHO SINH VIÊN, HỌC VIÊN CAO HỌC VÀ NGHIÊN CỨU SINH"
113,Quy định coi thi,Quy trình phân công cán bộ coi thi gồm bao nhiêu giai đoạn?,"Quy trình phân công cán bộ coi thi gồm 3 giai đoạn tương ứng với 3 quy trình thành phần: Đăng ký coi thi, Phân công cán bộ coi thi và Tổng kết coi thi. Chi tiết các quy trình như sau.","Phần V, QUY TRÌNH PHÂN CÔNG CÁN BỘ COI THI CHO CÁC ĐỢT THI TẬP TRUNG HỆ ĐẠI HỌC CHÍNH QUY "
114,Quy định coi thi,Quy trình đăng ký coi thi như thế nào?,"1. Quy trình đăng ký coi thi
Bước 1: Xây dựng kế hoạch thi. P.ĐTĐH xây dựng và thông báo kế hoạch thi cho các đơn vị tổ chức thi; trong đó xác định rõ các mốc thời gian chính.
Bước 2: Xếp lịch thi, đưa lịch thi lên hệ thống. P.ĐTĐH xếp lịch thi, đưa thông tin lịch thi lên Hệ thống và gửi cho các đơn vị tổ chức thi để chuẩn bị cho công tác đăng ký coi thi. Hệ thống hỗ trợ kiểm tra tính hợp lệ của lịch thi.
Bước 3: Thông báo cán bộ và sinh viên đăng ký coi thi. P.ĐTĐH thông báo cho cán bộ và sinh viên đăng ký coi thi qua email hoặc trên trang web Cổng thông tin đào tạo đại học.
Bước 4: Mở hệ thống đăng ký coi thi. P.ĐTĐH mở Hệ thống để CB, SV đăng ký coi thi theo các mốc thời gian trong kế hoạch.
Bước 5: Đăng ký coi thi. Cán bộ và sinh viên đăng ký coi thi trên Hệ thống.
Bước 6: Đóng hệ thống đăng ký coi thi. P.ĐTĐH đóng Hệ thống khi kết thúc thời gian theo quy định.","Mục 1, Phần V, QUY TRÌNH PHÂN CÔNG CÁN BỘ COI THI CHO CÁC ĐỢT THI TẬP TRUNG HỆ ĐẠI HỌC CHÍNH QUY "
115,Quy định coi thi,Quy trình phân công cán bộ coi thi như thế nào?,"2. Quy trình phân công cán bộ coi thi
Bước 1: Chạy chức năng Phân công CBCT. P.ĐTĐH chạy chức năng phân công CBCT của phần mềm QLĐT. Hệ thống tự động tính định mức coi thi của GV và điền tên cán bộ chưa đăng ký đủ số lượt coi thi theo quy định vào các ca thi chưa có CBCT.
Bước 2: Thông báo CBCT kiểm tra lịch coi thi. Phòng ĐTĐH thông báo CBCT kiểm tra lịch coi thi tại Cổng thông tin đào tạo đại học.
Bước 3: CBCT kiểm tra lịch coi thi, đề xuất CBCT thay thế (nếu cần).  Nếu vì lý do bất khả kháng, CBCT không thể coi thi theo lịch đã phân công thì CBCT tìm người thay thế và sử dụng chức năng đề xuất CBCT thay thế của Hệ thống. Sau khi người coi thi thay xác nhận đồng ý coi thi thay qua Hệ thống thì thay thế đó mới có hiệu lực. Nếu không tìm được người thay thế cụ thể thì CBCT vẫn có thể sử dụng chức năng Đề xuất CBCT thay thế để tìm người hỗ trợ coi thi, và phân công được thay đổi khi có người xác nhận đồng ý coi thi thay trên Hệ thống.
Bước 4: CBCT thực hiện công tác coi thi. CBCT có trách nhiệm thực hiện công tác coi thi theo đúng lịch coi thi trên Hệ thống. Mỗi ca thi, đơn vị tổ chức thi và P.ĐTĐH/VPCCTĐB phải có 01 cán bộ trực thi và 01 cán bộ trực lãnh đạo để xử lý các vấn đề phát sinh. Thù lao cho các cán bộ trực thi được tính như thù lao CBCT.","- Mục 2, Phần V, QUY TRÌNH PHÂN CÔNG CÁN BỘ COI THI CHO CÁC ĐỢT THI TẬP TRUNG HỆ ĐẠI HỌC CHÍNH QUY
- Điều 1, QUYẾT ĐỊNH VỀ VIỆC SỬA ĐỔI QUY TRÌNH PHÂN CÔNG CÁN BỘ COI THI CHO CÁC ĐỢT THI TẬP TRUNG HỆ ĐẠI HỌC CHÍNH QUY"
