Câu hỏi,Câu trả lời,Căn cứ,Ngày ban hành,Ngày cập nhật,Đường dẫn căn cứ,Đường dẫn các file cập nhật
Ai là người có quyền ra quyết định giao đề tài khóa luận tốt nghiệp cho sinh viên?,"Điều 5. Đăng ký và xét duyệt đề tài KLTN
6. Khoa gửi công văn đề nghị giao đề tài KLTN cho P.ĐTĐH/VPCCTĐB. Căn cứ đề nghị của Trưởng P.ĐTĐH và Trưởng Khoa, Hiệu trưởng ra quyết định giao đề tài KLTN cho SV. ","KHOẢN 6, ĐIỀU 5, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
"Mỗi đề tài khóa luận tốt nghiệp cần tối thiểu bao nhiêu cán bộ, giảng viên hướng dẫn?","Điều 6. Quy định về CBHD
1. Mỗi đề tài KLTN do tối thiểu 1 CBHD có học vị từ thạc sĩ trở lên hướng dẫn. Nếu KLTN gồm 2 CBHD thì phải phân rõ trách nhiệm hướng dẫn chính và hướng dẫn phụ. Trường hợp mời CBHD bên ngoài hướng dẫn thì phải có một CBHD là cán bộ của Trường.","KHOẢN 1, ĐIỀU 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
"Cán bộ, giảng viên hướng dẫn khóa luận tốt nghiệp phải có học vị là gì?","Điều 6. Quy định về CBHD
1. Mỗi đề tài KLTN do tối thiểu 1 CBHD có học vị từ thạc sĩ trở lên hướng dẫn. Nếu KLTN gồm 2 CBHD thì phải phân rõ trách nhiệm hướng dẫn chính và hướng dẫn phụ. Trường hợp mời CBHD bên ngoài hướng dẫn thì phải có một CBHD là cán bộ của Trường.","KHOẢN 1, ĐIỀU 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
"Cán bộ, giảng viên hướng dẫn có được phép có quan hệ ruột thịt như thế nào với sinh viên thực hiện khóa luận tốt nghiệp?","Điều 6. Quy định về CBHD
2. CBHD đề tài không được là người có quan hệ ruột thịt (cha, mẹ, vợ, chồng, anh, chị, em ruột) với SV thực hiện đề tài KLTN.","KHOẢN 2, ĐIỀU 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
"Một cán bộ, giảng viên được hướng dẫn tối đa bao nhiêu đề tài khóa luận tốt nghiệp trong mỗi học kỳ?","Điều 6. Quy định về CBHD
3. CBHD hướng dẫn tối đa 10 đề tài trong mỗi học kỳ.","KHOẢN 3, ĐIỀU 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
"Số lượng đề tài tối đa mà một cán bộ, giảng viên có thể hướng dẫn trong mỗi học kỳ là bao nhiêu?","Điều 6. Quy định về CBHD
3. CBHD hướng dẫn tối đa 10 đề tài trong mỗi học kỳ.","KHOẢN 3, ĐIỀU 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
"Khi đề tài sử dụng dữ liệu doanh nghiệp, cán bộ, giảng viên cần quan tâm đến vấn đề gì?","Điều 6. Quy định về CBHD
4. Đối với các đề tài KLTN có sử dụng dữ liệu hoặc tư liệu của doanh nghiệp, CBHD có trách nhiệm kiểm tra việc thực hiện các quy định về tác quyền của đơn vị cung cấp dữ liệu hoặc tư liệu liên quan. ","KHOẢN 4, ĐIỀU 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Đơn vị nào có trách nhiệm lập hội đồng đánh giá báo cáo giữa kỳ khóa luận tốt nghiệp?,"Điều 7. Báo cáo tiến độ thực hiện KLTN
1. Khoa lập hội đồng đánh giá báo cáo giữa kỳ KLTN. Mục đích của báo cáo giữa kỳ nhằm:
a. Rà soát tiến độ thực hiện của SV;
b. Phát hiện những khó khăn, trở ngại (nếu có) từ phía CBHD hoặc từ phía SV để có biện pháp xử lý kịp thời:
- Điều chỉnh tên, nội dung hay phương pháp thực hiện đề tài;
- Thay thế hoặc bổ sung CBHD.
- Đình chỉ việc thực hiện KLTN nếu xét thấy không có khả năng tiếp tục thực hiện để hoàn thành đề tài đúng hạn.
c. Các trường hợp SV bị hội đồng đề nghị đình chỉ thực hiện KLTN được trưởng ĐVCM xem xét và quyết định. SV bị đình chỉ nhận điểm không (0) đối với môn học KLTN.
d. Tên đề tài KLTN, CBHD có thể thay đổi 01 lần theo đề xuất của hội đồng đánh giá ngay sau khi SV báo cáo giữa kỳ. Khoa tổng hợp kết quả báo cáo giữa kỳ của các SV, các đề nghị thay đổi và gửi cho P.ĐTĐH/VPCCTĐB.","KHOẢN 1, ĐIỀU 7, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Mục đích chính của việc báo cáo giữa kỳ khóa luận tốt nghiệp là gì?,"Điều 7. Báo cáo tiến độ thực hiện KLTN
1. Khoa lập hội đồng đánh giá báo cáo giữa kỳ KLTN. Mục đích của báo cáo giữa kỳ nhằm:
a. Rà soát tiến độ thực hiện của SV;
b. Phát hiện những khó khăn, trở ngại (nếu có) từ phía CBHD hoặc từ phía SV để có biện pháp xử lý kịp thời:
- Điều chỉnh tên, nội dung hay phương pháp thực hiện đề tài;
- Thay thế hoặc bổ sung CBHD.
- Đình chỉ việc thực hiện KLTN nếu xét thấy không có khả năng tiếp tục thực hiện để hoàn thành đề tài đúng hạn.
c. Các trường hợp SV bị hội đồng đề nghị đình chỉ thực hiện KLTN được trưởng ĐVCM xem xét và quyết định. SV bị đình chỉ nhận điểm không (0) đối với môn học KLTN.
d. Tên đề tài KLTN, CBHD có thể thay đổi 01 lần theo đề xuất của hội đồng đánh giá ngay sau khi SV báo cáo giữa kỳ. Khoa tổng hợp kết quả báo cáo giữa kỳ của các SV, các đề nghị thay đổi và gửi cho P.ĐTĐH/VPCCTĐB.","KHOẢN 1, ĐIỀU 7, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Nếu sinh viên không có khả năng tiếp tục thực hiện khóa luận tốt nghiệp thì sao?,"Điều 7. Báo cáo tiến độ thực hiện KLTN
1. Khoa lập hội đồng đánh giá báo cáo giữa kỳ KLTN. Mục đích của báo cáo giữa kỳ nhằm:
a. Rà soát tiến độ thực hiện của SV;
b. Phát hiện những khó khăn, trở ngại (nếu có) từ phía CBHD hoặc từ phía SV để có biện pháp xử lý kịp thời:
- Điều chỉnh tên, nội dung hay phương pháp thực hiện đề tài;
- Thay thế hoặc bổ sung CBHD.
- Đình chỉ việc thực hiện KLTN nếu xét thấy không có khả năng tiếp tục thực hiện để hoàn thành đề tài đúng hạn.
c. Các trường hợp SV bị hội đồng đề nghị đình chỉ thực hiện KLTN được trưởng ĐVCM xem xét và quyết định. SV bị đình chỉ nhận điểm không (0) đối với môn học KLTN.
d. Tên đề tài KLTN, CBHD có thể thay đổi 01 lần theo đề xuất của hội đồng đánh giá ngay sau khi SV báo cáo giữa kỳ. Khoa tổng hợp kết quả báo cáo giữa kỳ của các SV, các đề nghị thay đổi và gửi cho P.ĐTĐH/VPCCTĐB.","KHOẢN 1, ĐIỀU 7, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Có thể thay đổi đề tài khóa luận tốt nghiệp sau khi đăng kí không?,"Điều 7. Báo cáo tiến độ thực hiện KLTN
1. Khoa lập hội đồng đánh giá báo cáo giữa kỳ KLTN. Mục đích của báo cáo giữa kỳ nhằm:
a. Rà soát tiến độ thực hiện của SV;
b. Phát hiện những khó khăn, trở ngại (nếu có) từ phía CBHD hoặc từ phía SV để có biện pháp xử lý kịp thời:
- Điều chỉnh tên, nội dung hay phương pháp thực hiện đề tài;
- Thay thế hoặc bổ sung CBHD.
- Đình chỉ việc thực hiện KLTN nếu xét thấy không có khả năng tiếp tục thực hiện để hoàn thành đề tài đúng hạn.
c. Các trường hợp SV bị hội đồng đề nghị đình chỉ thực hiện KLTN được trưởng ĐVCM xem xét và quyết định. SV bị đình chỉ nhận điểm không (0) đối với môn học KLTN.
d. Tên đề tài KLTN, CBHD có thể thay đổi 01 lần theo đề xuất của hội đồng đánh giá ngay sau khi SV báo cáo giữa kỳ. Khoa tổng hợp kết quả báo cáo giữa kỳ của các SV, các đề nghị thay đổi và gửi cho P.ĐTĐH/VPCCTĐB.","KHOẢN 1, ĐIỀU 7, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Sinh viên bị đình chỉ thực hiện khóa luận tốt nghiệp bị phạt thế nào?,"Điều 7. Báo cáo tiến độ thực hiện KLTN
1. Khoa lập hội đồng đánh giá báo cáo giữa kỳ KLTN. Mục đích của báo cáo giữa kỳ nhằm:
a. Rà soát tiến độ thực hiện của SV;
b. Phát hiện những khó khăn, trở ngại (nếu có) từ phía CBHD hoặc từ phía SV để có biện pháp xử lý kịp thời:
- Điều chỉnh tên, nội dung hay phương pháp thực hiện đề tài;
- Thay thế hoặc bổ sung CBHD.
- Đình chỉ việc thực hiện KLTN nếu xét thấy không có khả năng tiếp tục thực hiện để hoàn thành đề tài đúng hạn.
c. Các trường hợp SV bị hội đồng đề nghị đình chỉ thực hiện KLTN được trưởng ĐVCM xem xét và quyết định. SV bị đình chỉ nhận điểm không (0) đối với môn học KLTN.
d. Tên đề tài KLTN, CBHD có thể thay đổi 01 lần theo đề xuất của hội đồng đánh giá ngay sau khi SV báo cáo giữa kỳ. Khoa tổng hợp kết quả báo cáo giữa kỳ của các SV, các đề nghị thay đổi và gửi cho P.ĐTĐH/VPCCTĐB.","KHOẢN 1, ĐIỀU 7, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Sinh viên thực hiện báo cáo khóa luận tốt nghiệp với ai?,"Điều 8. Báo cáo KLTN cuối kỳ
1. Khi hết thời gian thực hiện KLTN theo quy định của Trường, SV phải báo cáo việc thực hiện KLTN và kết quả cho CBHD. CBHD cho nhận xét theo mẫu Phiếu nhận xét theo quy định của Trường.","KHOẢN 1, ĐIỀU 8, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
"Khi hết thời gian thực hiện khóa luận tốt nghiệp, sinh viên phải làm gì?","Điều 8. Báo cáo KLTN cuối kỳ
1. Khi hết thời gian thực hiện KLTN theo quy định của Trường, SV phải báo cáo việc thực hiện KLTN và kết quả cho CBHD. CBHD cho nhận xét theo mẫu Phiếu nhận xét theo quy định của Trường.","KHOẢN 1, ĐIỀU 8, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Sinh viên nộp báo cáo khóa luận tốt nghiệp cho ai?,"Điều 8. Báo cáo KLTN cuối kỳ
2. Sau khi có ý kiến đồng ý của CBHD, SV phải hoàn thành và nộp báo cáo KLTN cho Khoa đúng hạn.","KHOẢN 2, ĐIỀU 8, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Báo cáo khóa luận tốt nghiệp phải được trình bày theo hình thức nào?,"Điều 8. Báo cáo KLTN cuối kỳ
3. Yêu cầu đối với báo cáo KLTN:
- Hình thức trình bày KLTN theo quy định của Trường,
- KLTN phải có ý kiến thống nhất về nội dung và sự đồng ý cho phép SV bảo vệ kèm chữ ký của CBHD.
- Báo cáo KLTN phải được gửi đến: CBHD, CBPB và các thành viên trong hội đồng. Báo cáo bản mềm (định dạng Word / PDF) hay bản giấy là do Khoa quyết định.","KHOẢN 3, ĐIỀU 8, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Báo cáo khóa luận tốt nghiệp cần được gửi đến những đối tượng nào?,"Điều 8. Báo cáo KLTN cuối kỳ
3. Yêu cầu đối với báo cáo KLTN:
- Hình thức trình bày KLTN theo quy định của Trường,
- KLTN phải có ý kiến thống nhất về nội dung và sự đồng ý cho phép SV bảo vệ kèm chữ ký của CBHD.
- Báo cáo KLTN phải được gửi đến: CBHD, CBPB và các thành viên trong hội đồng. Báo cáo bản mềm (định dạng Word / PDF) hay bản giấy là do Khoa quyết định.","KHOẢN 3, ĐIỀU 8, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Mỗi khóa luận tốt nghiệp được đánh giá bởi ai?,"Điều 9. Phản biện KLTN
1. Mỗi KLTN được đánh giá bởi người phản biện do Khoa chỉ định, sau đây gọi là CBPB.","KHOẢN 1, ĐIỀU 9, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Trước khi bảo vệ khóa luận tốt nghiệp sinh viên cần phải làm gì?,"Điều 9. Phản biện KLTN
4. SV phải báo cáo với CBPB trước khi bảo vệ trước hội đồng. CBPB nhận xét KLTN theo mẫu Phiếu nhận xét của P. ĐTĐH. ","KHOẢN 4, ĐIỀU 9, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Điều kiện để được bảo vệ khóa luận tốt nghiệp?,"Điều 10. Hoàn thành KLTN
2. Điều kiện để SV được bảo vệ KLTN theo quy định trong Quy chế đào tạo theo học chế tín chỉ của Trường.","KHOẢN 2, ĐIỀU 10, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Sinh viên cần đáp ứng điều kiện gì để được bảo vệ khóa luận tốt nghiệp?,"Điều 10. Hoàn thành KLTN
2. Điều kiện để SV được bảo vệ KLTN theo quy định trong Quy chế đào tạo theo học chế tín chỉ của Trường.","KHOẢN 2, ĐIỀU 10, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
Điều gì sẽ xảy ra nếu cán bộ phản biện đánh giá khóa luận tốt nghiệp của sinh viên dưới 5 điểm?,"Điều 10. Hoàn thành KLTN
3. Khi CBPB đánh giá đề tài KLTN của SV không đủ điều kiện để bảo vệ trước hội đồng (điểm đánh giá dưới 5), Khoa xem xét các biện pháp xử lý sau và quyết định:
- Thảo luận lại về điểm đánh giá với CBHD và CBPB. Nếu đạt được sự đồng thuận thì xứ lý theo quyết định đồng thuận này (cho phép hoặc không cho phép SV bảo vệ KLTN).
- Trong trường hợp không đạt được sự đồng thuận giữa CBHD và CBPB, khi cần thiết có thể mời một CBPB thứ 2. Nếu CBPB thứ 2 cũng không đạt được sự đồng thuận thì trưởng ĐVCM ra quyết định cuối cùng.","KHOẢN 3, ĐIỀU 10, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC HỆ CHÍNH QUY",05/03/2024,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20%C4%90%E1%BB%8ANH%20V%E1%BB%80%20KH%C3%93A%20LU%E1%BA%ACN%20T%E1%BB%90T%20NGHI%E1%BB%86P%20CHO%20B%E1%BA%ACC%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20H%E1%BB%86%20CH%C3%8DNH%20QUY%2F1736448174297-159-qd-dhcntt_05-03-2024_ban_hanh_quy_dinh_kltn.pdf?alt=media,Không có
